user_id,timestamp,merchant_name,amount
user001,2024-01-01 09:00:00,starbucks,5.50
user001,2024-01-01 12:30:00,chipotle,12.00
user001,2024-01-02 09:15:00,starbucks,5.50
user001,2024-01-02 18:00:00,amazon,45.00
user001,2024-01-03 10:00:00,target,67.00
user001,2024-01-03 14:30:00,shell gas,40.00
user001,2024-01-04 09:00:00,starbucks,5.50
user001,2024-01-04 11:00:00,walgreens,22.00
user001,2024-01-05 10:00:00,starbucks,5.50
user001,2024-01-05 15:00:00,amazon,89.00
user001,2024-01-06 10:05:00,unknown_merchant1,450.00
user001,2024-01-06 10:08:00,unknown_merchant2,380.00
user001,2024-01-06 10:10:00,unknown_merchant3,520.00
user001,2024-01-06 10:12:00,unknown_merchant4,410.00
user001,2024-01-06 10:14:00,unknown_merchant5,395.00
user001,2024-01-07 03:30:00,online_store_xyz,650.00
user002,2024-01-01 08:00:00,mcdonalds,8.50
user002,2024-01-01 13:00:00,subway,9.00
user002,2024-01-02 08:30:00,mcdonalds,8.50
user002,2024-01-02 19:00:00,walmart,125.00
user002,2024-01-03 08:00:00,mcdonalds,8.50
user002,2024-01-03 17:00:00,target,78.00
user002,2024-01-04 08:30:00,mcdonalds,8.50
user002,2024-01-04 20:00:00,bestbuy,250.00
user002,2024-01-05 08:00:00,mcdonalds,8.50
user002,2024-01-05 12:00:00,chipotle,14.00
user002,2024-01-06 08:30:00,mcdonalds,8.50
user002,2024-01-06 16:00:00,amazon,45.00
user002,2024-01-07 09:00:00,costco,320.00
user002,2024-01-07 11:00:00,home_depot,280.00
user002,2024-01-07 13:00:00,lowes,310.00
user002,2024-01-07 15:00:00,ikea,420.00
user002,2024-01-07 17:00:00,macys,380.00
user002,2024-01-07 19:00:00,nordstrom,510.00
user002,2024-01-07 21:00:00,saks,620.00
user003,2024-01-01 14:00:00,panera,11.00
user003,2024-01-01 19:00:00,netflix,15.99
user003,2024-01-02 14:30:00,panera,11.00
user003,2024-01-02 20:00:00,amazon,32.00
user003,2024-01-03 15:00:00,panera,11.00
user003,2024-01-03 18:00:00,uber,18.50
user003,2024-01-04 14:00:00,panera,11.00
user003,2024-01-04 21:00:00,doordash,25.00
user003,2024-01-05 14:30:00,panera,11.00
user003,2024-01-05 19:30:00,spotify,9.99
user003,2024-01-06 02:45:00,international_electronics,1250.00
user003,2024-01-06 03:15:00,offshore_jewelry,890.00
user004,2024-01-01 10:00:00,whole_foods,45.00
user004,2024-01-01 16:00:00,cvs,22.00
user004,2024-01-02 10:30:00,whole_foods,52.00
user004,2024-01-02 17:00:00,shell gas,38.00
user004,2024-01-03 10:00:00,whole_foods,48.00
user004,2024-01-03 18:00:00,amazon,67.00
user004,2024-01-04 10:30:00,whole_foods,51.00
user004,2024-01-04 16:30:00,target,89.00
user004,2024-01-05 10:00:00,whole_foods,46.00
user004,2024-01-05 15:00:00,bestbuy,120.00
user004,2024-01-06 10:30:00,whole_foods,49.00
user004,2024-01-06 14:00:00,apple_store,999.00
user005,2024-01-01 11:00:00,wendys,9.50
user005,2024-01-01 18:00:00,kroger,65.00
user005,2024-01-02 11:30:00,wendys,9.50
user005,2024-01-02 19:00:00,shell gas,42.00
user005,2024-01-03 11:00:00,wendys,9.50
user005,2024-01-03 20:00:00,walmart,88.00
user005,2024-01-04 11:30:00,wendys,9.50
user005,2024-01-04 18:30:00,target,72.00
user005,2024-01-05 11:00:00,wendys,9.50
user005,2024-01-05 17:00:00,amazon,54.00
user005,2024-01-06 04:20:00,luxury_watches_intl,3500.00
user006,2024-01-01 13:00:00,pizza_hut,18.00
user006,2024-01-02 13:30:00,pizza_hut,18.00
user006,2024-01-03 13:00:00,burger_king,12.00
user006,2024-01-04 13:30:00,taco_bell,11.00
user006,2024-01-05 13:00:00,kfc,15.00
user006,2024-01-06 09:00:00,mysterious_shop_a,350.00
user006,2024-01-06 09:05:00,mysterious_shop_b,420.00
user006,2024-01-06 09:08:00,mysterious_shop_c,380.00
user006,2024-01-06 09:11:00,mysterious_shop_d,410.00
user006,2024-01-06 09:13:00,mysterious_shop_e,390.00
user006,2024-01-06 09:16:00,mysterious_shop_f,360.00
